,Bloomberg Comm.,Brent,Gold,CAC 40,DAX,EuroStoxx 50,FTSE MIB,IBEX 35,STOXX 600,EPRA Europe
Bloomberg Comm.,1.0,0.67,0.17,0.25,0.23,0.24,0.22,0.18,0.3,0.26
Brent,0.67,1.0,0.06,0.21,0.17,0.2,0.21,0.18,0.24,0.17
Gold,0.17,0.06,1.0,0.0,-0.0,-0.01,-0.02,-0.01,0.0,0.08
CAC 40,0.25,0.21,0.0,1.0,0.92,0.98,0.89,0.86,0.96,0.65
DAX,0.23,0.17,-0.0,0.92,1.0,0.95,0.85,0.82,0.93,0.62
EuroStoxx 50,0.24,0.2,-0.01,0.98,0.95,1.0,0.91,0.89,0.96,0.64
FTSE MIB,0.22,0.21,-0.02,0.89,0.85,0.91,1.0,0.87,0.88,0.63
IBEX 35,0.18,0.18,-0.01,0.86,0.82,0.89,0.87,1.0,0.85,0.6
STOXX 600,0.3,0.24,0.0,0.96,0.93,0.96,0.88,0.85,1.0,0.71
EPRA Europe,0.26,0.17,0.08,0.65,0.62,0.64,0.63,0.6,0.71,1.0
