id,path,status,sheet_expected,sheet_used,header_row_expected,data_start_row_expected,data_start_row_used,n_variables_expected,file_exists,workbook_ok,sheet_ok,header_row_has_values,n_header_cells_detected,first_date_parse_ok,first_date_value,n_rows_extracted,n_valid_dates,date_min,date_max,date_is_monotonic,n_duplicate_dates,value_missing_ratio,issues,warnings,issue_count,warning_count,quality_ok
regime_variables_inflation_eurozone_ppi,data/regime_variables/inflation/Eurozone_PPI.xlsx,EMPTY_METADATA_ONLY,Historical Values,Historical Values,,,,0,True,True,True,False,0,,,0,0,,,,,,[],"['expected_missing_header_row_metadata', 'expected_missing_data_start_row_metadata', 'live_query_formula_without_cached_history']",0,3,True
regime_variables_monetary_germany_2y_yield,data/regime_variables/monetary/Germany_2Y_Yield.xlsx,EMPTY_METADATA_ONLY,Historical Values,Historical Values,,,,0,True,True,True,False,0,,,0,0,,,,,,[],"['expected_missing_header_row_metadata', 'expected_missing_data_start_row_metadata', 'live_query_formula_without_cached_history']",0,3,True
regime_variables_inflation_germany_hicp,data/regime_variables/inflation/Germany_HICP.xlsx,NEEDS_REFRESH,Historical Values,First Release Data,20.0,21.0,5.0,8,True,True,True,True,8,True,2026-04-01 00:00:00,363,363,1996-02-01,2026-04-01,True,0.0,0.26721763085399447,[],"['high_missing_ratio_value_series', 'used_fallback_sheet_for_extraction']",0,2,True
regime_variables_sentiment_zew_germany,data/regime_variables/sentiment/ZEW_Germany.xlsx,NEEDS_REFRESH,Historical Values,First Release Data,19.0,20.0,5.0,5,True,True,True,True,5,True,2026-04-01 00:00:00,413,413,1991-12-01,2026-04-01,True,0.0,0.36077481840193704,[],"['high_missing_ratio_value_series', 'used_fallback_sheet_for_extraction']",0,2,True
investable_assets_cash_euribor_3m,data/investable_assets/cash/EURIBOR_3M.xlsx,OK,Sheet 1,Sheet 1,10.0,11.0,11.0,2,True,True,True,True,2,True,2026-03-31 00:00:00,6717,6717,2000-01-03,2026-03-31,True,0.0,0.0,[],[],0,0,True
investable_assets_commodities_bloomberg_commodity,data/investable_assets/commodities/Bloomberg_Commodity.xlsx,OK,Sheet 1,Sheet 1,31.0,32.0,32.0,8,True,True,True,True,8,True,2026-03-31 00:00:00,6646,6646,2000-01-03,2026-03-31,True,0.0,0.0,[],[],0,0,True
investable_assets_commodities_brent,data/investable_assets/commodities/Brent.xlsx,OK,Sheet 1,Sheet 1,34.0,35.0,35.0,11,True,True,True,True,11,True,2026-03-31 00:00:00,6748,6748,2000-01-04,2026-03-31,True,0.0,0.0007409602845287492,[],[],0,0,True
investable_assets_commodities_gold,data/investable_assets/commodities/Gold.xlsx,OK,Table Data,Table Data,2.0,3.0,3.0,2,True,True,True,True,2,True,2026-03-31 00:00:00,6825,6825,2000-01-03,2026-03-31,True,0.0,0.0,[],[],0,0,True
investable_assets_equity_cac40,data/investable_assets/equity/CAC 40.xlsx,OK,Sheet 1,Sheet 1,30.0,31.0,31.0,10,True,True,True,True,10,True,2026-03-31 00:00:00,6714,6714,2000-01-03,2026-03-31,True,0.0,0.0,[],[],0,0,True
investable_assets_equity_dax,data/investable_assets/equity/DAX.xlsx,OK,Sheet 1,Sheet 1,29.0,30.0,30.0,10,True,True,True,True,10,True,2026-03-31 00:00:00,6667,6667,2000-01-03,2026-03-31,True,0.0,0.0,[],[],0,0,True
investable_assets_equity_eurostoxx50,data/investable_assets/equity/EuroStoxx50.xlsx,OK,Sheet 1,Sheet 1,33.0,34.0,34.0,10,True,True,True,True,10,True,2026-03-31 00:00:00,6758,6758,2000-01-03,2026-03-31,True,0.0,0.0031074282332050904,[],[],0,0,True
investable_assets_equity_ftse_mib,data/investable_assets/equity/FTSE_MIB.xlsx,OK,Sheet 1,Sheet 1,31.0,32.0,32.0,10,True,True,True,True,10,True,2026-03-31 00:00:00,6678,6678,2000-01-03,2026-03-31,True,0.0,0.0,[],[],0,0,True
investable_assets_equity_ibex35,data/investable_assets/equity/IBEX35.xlsx,OK,Sheet 1,Sheet 1,30.0,31.0,31.0,10,True,True,True,True,10,True,2026-03-31 00:00:00,6685,6685,2000-01-03,2026-03-31,True,0.0,0.00014958863126402394,[],[],0,0,True
investable_assets_equity_stoxxeurope600,data/investable_assets/equity/StoxxEurope600.xlsx,OK,Sheet 1,Sheet 1,33.0,34.0,34.0,10,True,True,True,True,10,True,2026-03-31 00:00:00,6754,6754,2000-01-03,2026-03-31,True,0.0,0.0019247853124074624,[],[],0,0,True
