id,status,path,sheet_used,freq_declared,n_rows_extracted,issue_count,warning_count,median_step_days,cadence_ok,coverage_years,last_obs_age_days,stale_flag,outlier_rate_robust,readiness_tier
regime_variables_global_world_manufacturing_pmi,OK,data/regime_variables/global/World_Manufacturing_PMI.xlsx,Historical Values,monthly,36,0,0,31.0,True,2.91854893908282,24.0,False,0.0,READY
regime_variables_growth_eurozona_unemployment,OK,data/regime_variables/growth/Eurozona_Unemployment.xlsx,Historical Values,monthly,265,0,0,31.0,True,21.998631074606433,24.0,False,0.0,READY
regime_variables_growth_eurozone_gdp_revised_qq,OK,data/regime_variables/growth/Eurozone_GDP_Revised_QQ.xlsx,Historical Values,quarterly,89,0,0,91.5,True,21.998631074606433,24.0,False,0.06741573033707865,READY
regime_variables_growth_eurozone_industrial_production,OK,data/regime_variables/growth/Eurozone_Industrial_Production.xlsx,Historical Values,monthly,265,0,0,31.0,True,21.998631074606433,55.0,False,0.01509433962264151,READY
regime_variables_growth_eurozone_pmi_manufactoring,OK,data/regime_variables/growth/Eurozone_PMI_Manufactoring.xlsx,Historical Values,monthly,255,0,0,31.0,True,21.245722108145106,24.0,False,0.0,READY
regime_variables_growth_eurozone_pmi_services,OK,data/regime_variables/growth/Eurozone_PMI_Services.xlsx,Historical Values,monthly,257,0,0,31.0,True,21.412731006160165,-6.0,False,0.007782101167315175,READY
regime_variables_growth_germany_gdp_detailed_qq,OK,data/regime_variables/growth/Germany_GDP_Detailed_QQ.xlsx,Historical Values,quarterly,89,0,0,91.5,True,21.998631074606433,24.0,False,0.0449438202247191,READY
regime_variables_growth_spain_gdp_final_qq,OK,data/regime_variables/growth/Spain_GDP_Final_QQ.xlsx,Historical Values,quarterly,87,0,0,91.5,True,21.49760438056126,24.0,False,0.04597701149425287,READY
regime_variables_inflation_eurozone_hicp,OK,data/regime_variables/inflation/Eurozone_HICP.xlsx,Historical Values,monthly,264,0,0,31.0,True,21.916495550992472,24.0,False,0.011363636363636364,READY
regime_variables_inflation_eurozone_hicp_core,OK,data/regime_variables/inflation/Eurozone_HICP_Core.xlsx,Historical Values,monthly,363,0,0,31.0,True,30.16290212183436,24.0,False,0.0,READY
regime_variables_inflation_spain_hicp,OK,data/regime_variables/inflation/Spain_HICP.xlsx,Historical Values,monthly,240,0,0,31.0,True,20.917180013689254,24.0,False,0.004166666666666667,READY
